Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta
1747418723.711838,Windows,BT7274_BT7274,BT7274,0,0,0,0
1747418724.3143265,Windows,BT7274_BT7274,BT7274,0,0,0,0
1747418724.9363954,Windows,BT7274_BT7274,BT7274,13377.71875,15913.19140625,0.0,11850173
1747418725.5373585,Windows,BT7274_BT7274,BT7274,13599.04296875,16027.8203125,73.8,11850173
1747418726.038924,Windows,BT7274_BT7274,BT7274,13599.04296875,16027.8203125,73.8,11850173
1747418726.6755586,Windows,BT7274_BT7274,BT7274,13641.109375,16037.203125,57.2,131152
1747418727.3029056,Windows,BT7274_BT7274,BT7274,13699.76171875,16077.6796875,39.0,131152
1747418727.8943949,Windows,BT7274_BT7274,BT7274,13699.76171875,16077.6796875,39.0,131152
1747418728.43333,Windows,BT7274_BT7274,BT7274,13754.8515625,16087.06640625,40.7,38215
1747418729.0475914,Windows,BT7274_BT7274,BT7274,13624.41796875,16101.0,49.5,38215
1747418729.7021925,Windows,BT7274_BT7274,BT7274,13624.41796875,16101.0,49.5,38215
1747418730.3251846,Windows,BT7274_BT7274,BT7274,13652.265625,16102.328125,57.1,33720
1747418730.913927,Windows,BT7274_BT7274,BT7274,13642.328125,16087.625,58.5,33720
1747418731.5981102,Windows,BT7274_BT7274,BT7274,13657.74609375,16082.11328125,57.7,0
1747418732.1192777,Windows,BT7274_BT7274,BT7274,13657.74609375,16082.11328125,57.7,0
1747418732.743122,Windows,BT7274_BT7274,BT7274,13664.6015625,16083.50390625,46.7,32037
1747418733.3652592,Windows,BT7274_BT7274,BT7274,13664.6015625,16083.50390625,46.7,32037
1747418733.9087431,Windows,BT7274_BT7274,BT7274,13661.51171875,16087.671875,48.2,32037
1747418734.4899118,Windows,BT7274_BT7274,BT7274,13658.68359375,16086.57421875,41.9,18846
1747418735.091978,Windows,BT7274_BT7274,BT7274,13658.68359375,16086.57421875,41.9,18846
